## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
101,Ocean Blue shirt,,Ocean Blue shirt,,599, ,10,20, , , , , , , , , , ,
102,Ayres Chambray,,Ayres Chambray,,699, ,10,10, , , , , , , , , , ,
103,Gertrude Cardigan,,Gertrude Cardigan,,399, ,10,5, , , , , , , , , , ,
104,Derby Tier Backpack,,Derby Tier Backpack,,999, ,10,30, , , , , , , , , , ,
105,Dawson Trolley,,Dawson Trolley,,1599, ,10,45, , , , , , , , , , ,
106,Duckworth Woolfill Jacket,,Duckworth Woolfill Jacket,,2000, ,10,20, , , , , , , , ,  , ,
107,Scout Backpack,,Scout Backpack,,1599, ,10,10, , , , , , , , , , ,
108,Long Sleeve Swing Shirt,,Long Sleeve Swing Shirt,,999, ,10,5, , , , , , , , , , ,
109,Hudderton Backpack,,Hudderton Backpack,,1599, ,10,30, , , , , , , , , , ,
110,Moon Cycle shirt,,Moon Cycle shirt,,799, ,10,20, , , , , , , , , , ,
,,,,,,,,,,,,,,,,, ,,
